year,id_,age,educ,sex,race,rincome,ballot,rheight
2022,80,23,5 years of college,FEMALE,Black,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,81,.n:  No answer,4 years of college,FEMALE,Black,$25000 OR MORE,Ballot b,-100
2022,82,22,2 years of college,FEMALE,Black,.i:  Inapplicable,Ballot c,64
2022,83,44,3 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,84,24,3 years of college,FEMALE,Other,.i:  Inapplicable,Ballot b,-100
2022,85,37,6 years of college,MALE,Black,.i:  Inapplicable,Ballot a,-100
2022,86,79,8 or more years of college,MALE,White,$25000 OR MORE,Ballot a,-100
2022,87,22,3 years of college,MALE,Black,.i:  Inapplicable,Ballot b,-100
2022,88,34,4 years of college,MALE,Other,$25000 OR MORE,Ballot a,-100
2022,89,26,4 years of college,MALE,Black,$25000 OR MORE,Ballot b,-100
2022,90,29,5 years of college,MALE,.i:  Inapplicable,.i:  Inapplicable,Ballot b,-100
2022,91,36,4 years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,92,29,3 years of college,FEMALE,Black,.r:  Refused,Ballot a,-100
2022,93,47,12th grade,MALE,Other,$25000 OR MORE,Ballot b,-100
2022,94,58,4 years of college,FEMALE,Black,$25000 OR MORE,Ballot b,-100
2022,95,46,4 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,96,29,4 years of college,FEMALE,Other,$25000 OR MORE,Ballot a,-100
2022,97,46,4 years of college,FEMALE,White,$25000 OR MORE,Ballot b,-100
2022,98,71,2 years of college,MALE,White,.i:  Inapplicable,Ballot c,65
2022,99,28,4 years of college,MALE,Other,.i:  Inapplicable,Ballot b,-100
2022,100,38,4 years of college,FEMALE,White,.i:  Inapplicable,Ballot a,-100
2022,101,25,2 years of college,MALE,Black,.i:  Inapplicable,Ballot c,71
2022,102,34,4 years of college,FEMALE,White,$25000 OR MORE,Ballot c,67
2022,103,26,2 years of college,FEMALE,Other,$15000 - 19999,Ballot c,59
2022,104,63,4 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,105,82,4 years of college,MALE,White,.i:  Inapplicable,Ballot c,72
2022,106,47,6 years of college,MALE,White,$25000 OR MORE,Ballot a,-100
2022,107,40,4 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,108,71,5 years of college,MALE,Other,.i:  Inapplicable,Ballot c,68
2022,109,63,1 year of college,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,110,89 or older,3 years of college,FEMALE,White,.i:  Inapplicable,Ballot a,-100
2022,111,61,4 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,112,52,12th grade,MALE,Other,$25000 OR MORE,Ballot a,-100
2022,113,48,3 years of college,MALE,Black,$25000 OR MORE,Ballot c,75
2022,114,40,4 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,115,.n:  No answer,3 years of college,MALE,Black,.r:  Refused,Ballot a,-100
2022,116,44,12th grade,MALE,White,$25000 OR MORE,Ballot b,-100
2022,117,42,12th grade,MALE,Other,$25000 OR MORE,Ballot b,-100
2022,118,46,4 years of college,MALE,Other,$25000 OR MORE,Ballot a,-100
2022,119,70,9th grade,FEMALE,White,.i:  Inapplicable,Ballot b,-100
