kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
64,-0.96,12,1,1,0,0,0,0,1,1,0,86,-1.4025181531906128,-1.074784278869629,-2.5150206089019775,-2.595621347427368
65,-1.11,20,1,1,0,0,0,0,1,1,0,126,-0.8454116582870483,-0.6891034841537476,-2.8592703342437744,-1.7234725952148438
66,-0.28,6,1,1,0,0,0,0,1,1,0,112,-0.12445009499788284,-1.0815505981445312,-1.3124605417251587,-1.9865543842315674
66,-0.53,50,1,0,0,0,0,0,1,0,0,109,-1.0354832410812378,-0.6378726363182068,-1.6442171335220337,-1.4769721031188965
72,0.54,30,1,1,0,0,0,1,1,0,0,118,-0.5963521003723145,-0.2608911991119385,-0.8918654322624207,-0.03333950787782669
70,0.56,50,0,0,0,0,1,0,0,1,0,158,-0.9754032492637634,-0.3991178870201111,-2.8782413005828857,-2.6895787715911865
71,0.96,100,0,0,0,0,0,1,0,0,0,131,3.24768328666687,1.5167202949523926,1.1116307973861694,1.1177339553833008
65,0.4,100,0,1,0,0,0,0,0,0,0,128,0.027388695627450943,0.27364876866340637,1.1893643140792847,1.2400634288787842
71,0.89,100,0,0,0,0,0,1,0,0,0,155,1.1284936666488647,1.7931733131408691,1.184736967086792,0.7831708192825317
71,1.04,100,0,0,0,0,0,0,0,0,0,110,0.1355329006910324,0.21468496322631836,0.7558135986328125,0.42428964376449585
74,1.16,100,0,0,0,0,0,0,0,0,0,127,0.799691379070282,0.4389404356479645,0.7849633097648621,-0.8808010220527649
68,1.31,50,0,0,0,0,0,1,0,0,1,100,1.2770551443099976,1.3543283939361572,0.2954254448413849,0.9522950649261475
60,1.21,50,0,1,0,0,0,1,0,0,0,108,-0.01521350722759962,0.30748024582862854,0.4485800862312317,1.097837209701538
63,1.23,60,0,1,0,0,0,1,0,0,0,48,-0.6039986610412598,-0.5470104217529297,0.20566201210021973,-0.29126256704330444
71,1.88,100,0,0,0,0,0,1,0,0,1,126,2.169518232345581,2.3025810718536377,0.23897655308246613,1.2356414794921875
68,-0.12,50,0,1,0,0,0,0,0,0,0,84,-0.5067781805992126,-1.267141342163086,0.6452280879020691,0.9976156949996948
